drug,att_improved,att_not_imp,att_diff,att_ratio,is_lipid_drug,category
Cepacol (Sore Throat Lozenge),0.029445633904910402,0.030591946709504787,-0.0011463128045943842,0.9625289356221901,False,Other
Calcium Gluconate sliding scale (Critical Care-Ionized calcium),0.014568746929221294,0.015719684373055185,-0.001150937443833891,0.9267836798424088,False,Other
Furosemide,0.017425529740396,0.0185857233202963,-0.0011601935799002983,0.9375760867679912,False,Diuretic
Mannitol,0.012029298048998629,0.013209812808781862,-0.0011805147597832334,0.9106334982280423,False,Other
DAPTOmycin,0.016992674209177494,0.01819599010050297,-0.0012033158913254752,0.9338691720165195,False,Other
"Lidocaine 1%/Epinephrine 1:100,000",0.012124233471695334,0.013384847768715449,-0.0012606142970201153,0.9058178084052205,False,Other
Acetaminophen,0.035200086552672816,0.036463879761121656,-0.0012637932084488407,0.9653412303702165,False,Other
Lidocaine Jelly 2% (Glydo),0.022430774421169017,0.023727641590604826,-0.0012968671694358093,0.9453436126602099,False,Other
TraZODone,0.028260749897313076,0.029587010874526004,-0.0013262609772129279,0.9551742153731785,False,Other
Atropine Sulfate,0.033415900872034186,0.034799900650978086,-0.0013839997789438993,0.960229777871363,False,Other
Verapamil SR,0.041232064170272725,0.042673461731861935,-0.0014413975615892097,0.966222624012877,False,CCB
PredniSONE,0.024533568010000246,0.02598369514493093,-0.0014501271349306837,0.9441908809796984,False,Other
Sertraline,0.03419572837859184,0.03564932172885164,-0.0014535933502598034,0.9592252172056507,False,Other
Mycophenolate Mofetil,0.02240299727571638,0.023867110886117992,-0.0014641136104016107,0.938655599440266,False,Other
Lidocaine 1%,0.01867435315800627,0.020144115341827272,-0.001469762183821003,0.9270376405773856,False,Other
Fluticasone Propionate 110mcg,0.028849112017760203,0.030325625493953175,-0.0014765134761929727,0.9513113595468168,False,Other
DiphenhydrAMINE,0.028203680529259145,0.0296913179067465,-0.0014876373774873539,0.9498965528522622,False,Other
Calcium Gluconate,0.01455893113020936,0.016047333173143368,-0.0014884020429340086,0.907249258996817,False,Other
NiMODipine,0.011761037100638663,0.013276639860123396,-0.0015156027594847334,0.8858444022393895,False,Other
Piperacillin-Tazobactam,0.018714595935307443,0.02025768031029308,-0.0015430843749856364,0.923827192879454,False,Other
Sodium Phosphate,0.01852148329599364,0.020104870568805683,-0.0015833872728120424,0.9212435977942184,False,Other
Sarna Lotion,0.02570488046516072,0.027311145501254602,-0.001606265036093884,0.9411864641115073,False,Other
Magnesium Citrate,0.02578256819397211,0.02742919612986346,-0.0016466279358913483,0.9399680570988886,False,Other
PrednisoLONE Acetate 1% Ophth. Susp.,0.029035894543324645,0.030687570199370386,-0.0016516756560457403,0.9461776984845927,False,Other
TraMADol,0.03109537819323461,0.032749801263983906,-0.0016544230707492974,0.9494829584639732,False,Other
Brimonidine Tartrate 0.15% Ophth.,0.031579928106761405,0.03325870984958278,-0.001678781742821371,0.9495235458496767,False,Other
Ramelteon,0.03347935102357449,0.0351705524324095,-0.0016912014088350108,0.9519142779435964,False,Other
Propofol,0.012658110851597073,0.014367700052949099,-0.0017095892013520263,0.881011630598377,False,Other
Maalox/Diphenhydramine/Lidocaine,0.022228205003417455,0.023943351803436166,-0.0017151468000187117,0.9283664704048425,False,Other
Octreotide Acetate,0.01571905155750838,0.01747162500396371,-0.001752573446455328,0.8996903009274907,False,Other
Omeprazole,0.0355561242909842,0.03734041563532993,-0.001784291344345726,0.9522155467745382,False,Other
LORazepam,0.025912747001661685,0.027730134245204298,-0.0018173872435426133,0.9344616500060069,False,Other
Heparin Flush (10 units/ml),0.01815019372189718,0.02001251678162238,-0.0018623230597251995,0.9069420862929453,False,Anticoagulant
PALIperidone Palmitate,0.028793103620409967,0.030684658139944077,-0.0018915545195341103,0.9383550401341523,False,Other
